Round,Wk,Day,Date,Time,Home,xG,Score,xG2,Away,Stadium Capacity,Attendance,Attendance percentage,Day3,Distance travelled by away supporters (miles),Venue,Importance of the game,Referee,Match Report
Championship,1,Fri,29/07/2022,20:00,Huddersfield,0.1,0–1,1.1,Burnley,24121,"20,206",0.837693296,Weekend,26,The John Smith's Stadium,First Matchday,James Linington,Match Report
Championship,1,Sat,30/07/2022,15:00,Millwall,0.8,2–0,0.2,Stoke City,20146,"15,341",0.761491115,Weekend,180,The Den,First Matchday,Keith Stroud,Match Report
Championship,1,Sat,30/07/2022,15:00,Wigan Athletic,1.7,0–0,1.1,Preston,25138,"15,429",0.613771979,Weekend,19,The DW Stadium,First Matchday,Robert Madley,Match Report
Championship,1,Sat,30/07/2022,15:00,Rotherham Utd,0.6,1–1,0.6,Swansea City,12021,"10,454",0.869644788,Weekend,234,AESSEAL New York Stadium,First Matchday,Matt Donohue,Match Report
Championship,1,Sat,30/07/2022,15:00,Luton Town,1.4,0–0,0.7,Birmingham City,12056,"9,921",0.822909754,Weekend,81,Kenilworth Road Stadium,First Matchday,Graham Scott,Match Report
Championship,1,Sat,30/07/2022,15:00,Hull City,1.5,2–1,1,Bristol City,25586,"16,667",0.651410928,Weekend,231,MKM Stadium,First Matchday,Dean Whitestone,Match Report
Championship,1,Sat,30/07/2022,15:00,Cardiff City,0.1,1–0,0.3,Norwich City,33280,"19,969",0.600030048,Weekend,270,Cardiff City Stadium,First Matchday,Tim Robinson,Match Report
Championship,1,Sat,30/07/2022,15:00,Blackpool,0.7,1–0,1.3,Reading,17338,"10,831",0.624697197,Weekend,239,Bloomfield Road,First Matchday,David Webb,Match Report
Championship,1,Sat,30/07/2022,15:00,Blackburn,0.3,1–0,0.1,QPR,31367,"14,315",0.456371346,Weekend,225,Ewood Park,First Matchday,Thomas Bramall,Match Report
Championship,1,Sat,30/07/2022,17:30,Middlesbrough,1.5,1–1,1.1,West Brom,34742,"26,567",0.76469403,Weekend,176,Riverside Stadium,First Matchday,Tony Harrington,Match Report
Championship,1,Sun,31/07/2022,12:00,Sunderland,0.7,1–1,0.7,Coventry City,49000,"40,851",0.833693878,Weekend,207,Stadium of Light,First Matchday,Darren Bond,Match Report
Championship,1,Mon,01/08/2022,20:00,Watford,1.1,1–0,0.2,Sheffield Utd,22220,"19,536",0.879207921,Weekday,145,Vicarage Road Stadium,First Matchday,Joshua Smith,Match Report
Championship,2,Fri,05/08/2022,19:45,Birmingham City,1.2,2–1,0.9,Huddersfield,29409,"17,065",0.580264545,Weekend,110,St. Andrew's @ Knighthead Park,First home game,Gavin Ward,Match Report
Championship,2,Sat,06/08/2022,12:30,Norwich City,1.2,1–1,0.6,Wigan Athletic,27359,"25,595",0.935523959,Weekend,247,Carrow Road,First home game,Matt Donohue,Match Report
Championship,2,Sat,06/08/2022,15:00,Bristol City,1.9,2–3,1.2,Sunderland,27000,"24,543",0.909,Weekend,300,Ashton Gate Stadium,First home game,Keith Stroud,Match Report
Championship,2,Sat,06/08/2022,15:00,Preston,1.7,0–0,0.2,Hull City,23404,"15,816",0.675781918,Weekend,121,Deepdale Stadium,First home game,Jeremy Simpson,Match Report
Championship,2,Sat,06/08/2022,15:00,Sheffield Utd,2.4,2–0,1.1,Millwall,32050,"27,738",0.865460218,Weekend,182,Bramall Lane,First home game,David Coote,Match Report
Championship,2,Sat,06/08/2022,15:00,QPR,1.4,3–2,1.3,Middlesbrough,18436,"15,796",0.856801909,Weekend,250,MATRADE Loftus Road Stadium,First home game,Joshua Smith,Match Report
Championship,2,Sat,06/08/2022,15:00,Stoke City,1.9,2–0,1.1,Blackpool,30089,"23,612",0.784738609,Weekend,87,Bet365 Stadium,First home game,Robert Madley,Match Report
Championship,2,Sat,06/08/2022,15:00,Reading,1.4,2–1,0.5,Cardiff City,24161,"13,866",0.573900087,Weekend,112,Select Car Leasing Stadium,First home game,Darren England,Match Report
Championship,2,Sat,06/08/2022,15:00,Burnley,0.5,1–1,1.3,Luton Town,21944,"19,628",0.894458622,Weekend,199,Turf Moor,First home game,Darren Bond,Match Report
Championship,2,Sat,06/08/2022,15:00,Swansea City,0.4,0–3,0.5,Blackburn,21088,"16,632",0.788694992,Weekend,206,Swansea.com Stadium,First home game,Steve Martin,Match Report
Championship,2,Mon,08/08/2022,20:00,West Brom,2.3,1–1,1,Watford,26850,"22,365",0.832960894,Weekday,109,The Hawthorns,First home game,Tim Robinson,Match Report
Championship,3,Fri,12/08/2022,20:00,Watford,0.3,1–0,0.5,Burnley,22220,"19,225",0.865211521,Weekend,216,Vicarage Road Stadium,League game,Thomas Bramall,Match Report
Championship,3,Sat,13/08/2022,12:30,Cardiff City,2.6,1–0,0.1,Birmingham City,33280,"18,893",0.567698317,Weekend,110,Cardiff City Stadium,League game,Darren Bond,Match Report
Championship,3,Sat,13/08/2022,15:00,Hull City,1.1,2–1,1.5,Norwich City,25586,"17,028",0.665520206,Weekend,146,MKM Stadium,League game,James Linington,Match Report
Championship,3,Sat,13/08/2022,15:00,Huddersfield,1.7,3–1,2.2,Stoke City,24121,"18,618",0.771858546,Weekend,61,The John Smith's Stadium,League game,Matt Donohue,Match Report
Championship,3,Sat,13/08/2022,15:00,Luton Town,1.2,0–1,0.4,Preston,12056,"9,740",0.807896483,Weekend,191,Kenilworth Road Stadium,League game,Dean Whitestone,Match Report
Championship,3,Sat,13/08/2022,15:00,Millwall,1.6,3–2,1.3,Coventry City,20146,"13,880",0.688970515,Weekend,103,The Den,League game,Robert Madley,Match Report
Championship,3,Sat,13/08/2022,15:00,Blackpool,1.2,0–1,1.5,Swansea City,17338,"11,519",0.664378821,Weekend,220,Bloomfield Road,League game,Andy Woolmer,Match Report
Championship,3,Sat,13/08/2022,15:00,Sunderland,1.6,2–2,1.3,QPR,49000,"37,884",0.773142857,Weekend,287,Stadium of Light,League game,Jeremy Simpson,Match Report
Championship,3,Sat,13/08/2022,15:00,Rotherham Utd,2.1,4–0,0.8,Reading,12021,"9,263",0.770568172,Weekend,184,AESSEAL New York Stadium,League game,Steve Martin,Match Report
Championship,3,Sat,13/08/2022,15:00,Wigan Athletic,1.8,1–1,1,Bristol City,25138,"9,822",0.390723208,Weekend,177,The DW Stadium,League game,John Busby,Match Report
Championship,3,Sun,14/08/2022,14:00,Middlesbrough,1.7,2–2,0.5,Sheffield Utd,34742,"26,056",0.749985608,Weekend,101,Riverside Stadium,League game,Andre Marriner,Match Report
Championship,3,Sun,14/08/2022,15:00,Blackburn,0.4,2–1,1,West Brom,31367,"14,970",0.477253164,Weekend,107,Ewood Park,League game,Joshua Smith,Match Report
Championship,4,Tue,16/08/2022,19:45,Burnley,2.3,1–1,0.9,Hull City,21944,"18,209",0.829794021,Weekday,113,Turf Moor,League game,Robert Madley,Match Report
Championship,4,Tue,16/08/2022,19:45,Bristol City,1.6,2–0,0.9,Luton Town,27000,"17,329",0.641814815,Weekday,122,Ashton Gate Stadium,League game,Leigh Doughty,Match Report
Championship,4,Tue,16/08/2022,19:45,Swansea City,1.5,2–2,1.5,Millwall,21088,"16,068",0.761949924,Weekday,195,Swansea.com Stadium,League game,Gavin Ward,Match Report
Championship,4,Tue,16/08/2022,19:45,Norwich City,1.5,2–1,1,Huddersfield,27359,"25,369",0.927263423,Weekday,175,Carrow Road,League game,Joshua Smith,Match Report
Championship,4,Tue,16/08/2022,19:45,Preston,2.1,0–0,0.3,Rotherham Utd,23404,"14,479",0.618654931,Weekday,94,Deepdale Stadium,League game,Oliver Langford,Match Report
Championship,4,Tue,16/08/2022,19:45,Birmingham City,0.5,1–1,0.9,Watford,29409,"16,811",0.571627733,Weekday,104,St. Andrew's @ Knighthead Park,League game,David Webb,Match Report
Championship,4,Tue,16/08/2022,20:00,QPR,0.8,0–1,1.1,Blackpool,18436,"12,575",0.68208939,Weekday,242,MATRADE Loftus Road Stadium,League game,Andrew Davies,Match Report
Championship,4,Wed,17/08/2022,19:45,Stoke City,0.9,2–2,1.9,Middlesbrough,30089,"18,345",0.609691249,Weekday,166,Bet365 Stadium,League game,Michael Salisbury,Match Report
